trade_date,idx,open,high,low,close,preclose,change,pctChg,volume,amount,turn,turn_f,pe,pe_ttm,pb,total_share,float_share,free_share,total_mv,float_mv
20140116.0,01000688,,,,,,,,,,,,,,,,,,,
20140116.0,01000852,4493.5,4518.334,4476.44,4485.269,4494.095,-8.826,-0.1964,4898427000.0,58142923483.0,,,,,,,,,,
20140116.0,01000905,3709.383,3738.083,3703.191,3714.314,3708.142,6.172,0.1664,2958331200.0,29674608914.0,0.87,1.51,30.7,27.86,2.26,417421400684.0,340790677111.0,195576760786.0,3567341800818.0,2787748387543.0
20140116.0,02399001,7677.975,7724.402,7647.279,7667.219,7668.802,-1.583,-0.0206,7916053911.0,98213296743.8,0.77,1.19,15.54,14.22,2.07,144493524504.0,111976295010.0,72232642047.0,1737693970354.0,1258130916648.0
20140116.0,02399005,4962.602,4995.389,4930.477,4931.816,4962.507,-30.691,-0.6185,3361824011.9999995,43945407904.8,1.27,2.39,30.3,28.91,3.72,87480094230.0,72026759372.0,38398093034.0,1471519596849.0,1117044009355.0
20140116.0,02399006,1415.568,1423.118,1392.006,1395.163,1415.323,-20.16,-1.4244,1745599112.0,31597404219.8,2.28,3.14,71.47,62.78,6.17,33001640352.0,21028744910.0,15279989789.0,892985167498.0,540549647702.0
20140116.0,02399673,1405.8169,1410.4422,1374.7596,1377.3627,1401.719,-24.3563,-1.7376,288745067.0,8207826039.5,,,,,,,,,,
20140117.0,01000001,2017.522,2017.868,2001.33,2004.949,2023.701,-18.752,-0.9266,6730572000.0,57039564098.0,0.28,0.94,10.22,9.17,1.27,3245953196303.0,2363988363727.0,711183312614.0,17365844248924.0,12929682917469.0
20140117.0,01000020,813.533,813.581,804.441,804.946,815.919,-10.973,-1.3449,1228210500.0,12013736253.0,,,,,,,,,,
20140117.0,01000688,,,,,,,,,,,,,,,,,,,
20140117.0,01000852,4473.459,4477.491,4441.823,4445.2,4485.269,-40.069,-0.8933,4282988020.000001,49426989812.0,,,,,,,,,,
20140117.0,01000905,3704.356,3704.96,3669.587,3671.915,3714.314,-42.399,-1.1415,2532529300.0,25832781201.0,0.74,1.29,30.37,27.55,2.24,417421400684.0,340790677111.0,195576760786.0,3528272605290.0,2756862326982.0
20140117.0,02399001,7637.683,7659.574,7541.266,7544.565,7667.219,-122.654,-1.5997,6964230363.0,86511835969.6,0.64,0.99,15.31,14.0,2.04,144493524504.0,111976295010.0,72232642047.0,1711044352943.0,1238839676744.0
